id,name,category,price,description
1,"NordReach Fjella 700 Expedition Tent","Camping Gear",989.00,"Double‑wall shelter rated to –40 °C; test teams on Denali confirmed it stands after a week of katabatic hammering."
2,"NordReach Fjella Footprint","Camping Gear",68.00,"Laser‑cut PU sheet anchors to the 700 with color‑matched grommets, adding three seasons to floor life."
3,"NordReach Fjella Gear Loft","Camping Gear",37.50,"Mesh attic hangs from the fly struts and swallows headlamps, mittens and the last chocolate bar."
4,"SummitForge Rover 35 Stove","Camping Gear",129.00,"Titanium burner simmers at 2 kW yet fuels itself all night on a handful of forest twigs."
5,"SummitForge Carbon Windscreen","Camping Gear",24.90,"Feather‑weight shield wraps any 1‑pint pot; boils shave a minute off in 20‑knot gusts."
6,"SummitForge Stainless Kettle 0.9 L","Camping Gear",46.80,"Spout pours smooth—no lid rattle—so sunrise coffee lands in cup, not glove."
7,"OrbitGear Aurora 400 Lantern","Camping Gear",74.20,"High‑CRI LEDs blend warm and cool for true‑color camp cooking; USB‑C charge, 720‑lm boost."
8,"OrbitGear Aurora 120 Mini","Camping Gear",32.00,"Pocket light weighs 38 g; magnets snap to tailgate when river crossing lasts longer than planned."
9,"OrbitGear Solar Flex 7 Panel","Camping Gear",118.60,"Seven monocrystalline leaves unfold across boulder, topping a phone in eighty winter minutes."
10,"Ridge & Snow Alpine Pad R‑5.8","Camping Gear",189.90,"Vertical sidewalls prevent roll‑off on sloped bivy ledges; ASTM R‑value verified."
11,"Ridge & Snow Valve‑Mate Pump Sack","Camping Gear",29.70,"One bag‑full inflates the Alpine Pad without damp lung air icing at 3 000 m."
12,"Clearwater Outfitters All‑Mesh Hammock","Camping Gear",109.00,"Full‑body insect net and under‑quilt hooks; lab‑tested to 180 kg static."
13,"Clearwater Outfitters Tree Hugger Straps","Camping Gear",21.50,"38 mm polyester webbing protects bark and is park‑ranger approved."
14,"Clearwater Outfitters StormFly XL","Camping Gear",142.40,"Sil‑poly fly with catenary edges covers a two‑hammock camp; seam tape backed by lifetime warranty."
15,"Granite Peak Trail Table","Camping Gear",88.20,"Bamboo slats roll into 45 cm tube; holds 30 kg of cast iron or card games."
16,"Granite Peak Flat‑Pack Sink 10 L","Camping Gear",36.10,"PVC‑free basin stands on its own; side pocket stores filter drops."
17,"Granite Peak Ember Mat","Camping Gear",29.90,"Fiberglass fabric blocks 650 °C sparks—campground hosts love it."
18,"Horizon Trail Nano Towel M","Camping Gear",18.70,"30 × 60 cm microfiber swallows a river swim then drip‑dries on pack within the hour."
19,"Horizon Trail Nano Towel XL","Camping Gear",24.90,"Beach‑size cut; weighs less than an apple yet earns envy at hot springs."
20,"Horizon Trail Zip Pouch Duo","Camping Gear",11.20,"Two color‑coded mesh bags sort spoon from soap; YKK #3 coil zippers keep grit outside."
21,"Alpine Canvas Co. Heritage Axe 20″","Camping Gear",112.00,"Hickory handle, 5160‑steel head; tempered and stamped in Sweden, arrives shaving‑sharp."
22,"Alpine Canvas Co. Waxed Tool Roll","Camping Gear",34.50,"Stores the Heritage plus a folding saw; bees‑wax finish smells of cedar."
23,"Alpine Canvas Co. Firemaker Tin","Camping Gear",14.60,"Char‑cloth and ferro rod tucked inside a stamped steel tin the size of a biscotti."
24,"Pioneer Works Trek Chair Pro","Camping Gear",149.80,"Carbon‑fiber hubs drop weight to 640 g; 10‑year hinge warranty."
25,"Pioneer Works Trek Chair Feet (set of 4)","Camping Gear",19.90,"Wide pads stop sinking into snow or beach sand; screw‑on, tool‑free."
26,"NordReach Fjella Down Parka","Apparel",599.00,"Box‑wall baffling, 900‑fill RDS down, and a waterproof membrane mean summit selfies don’t show shivers."
27,"NordReach Fjella Down Mitts","Apparel",129.50,"Same insulation as the parka; goat‑skin palms grip ice axe without slickness."
28,"NordReach Fjella Neck Tube","Apparel",34.00,"Merino inside, Pertex outside; weighs 48 g but saves frost‑nip stories."
29,"SummitForge RiftShell Jacket","Apparel",259.90,"3‑layer ePTFE shell rated 30 k/20 k; pit‑zips fingertips to elbow."
30,"SummitForge RiftShell Pants","Apparel",224.90,"Integrated gaiter hooks; 330‑denier cuffs shrug crampon taps."
31,"SummitForge RiftVent Cap","Apparel",42.60,"Laser‑perforated crown cools uphill grind and still blocks drizzle."
32,"OrbitGear Stratus Wind Shirt","Apparel",98.40,"20 D nylon; disappears into its own cuff and reappears when ridge gust howls."
33,"OrbitGear Cirrus Wind Shorts","Apparel",64.30,"Gusseted crotch, 50+ UPF, and a snack pocket that fits two gels flat."
34,"OrbitGear Nimbus Stretch Belt","Apparel",29.50,"No‑metal buckle designed for airport scanners and last‑minute flights to trek."
